행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
전국,51829136,25915207,25913929,50133493,24972588,25160905,1695643,942619,753024,21484785,20926710,16388,541687,18525844,3897729,11661851,521606,2230787,213871,1000903
읍부,5113052,2624351,2488701,4904647,2494271,2410376,208405,130080,78325,2080384,2021664,2353,56367,1992568,579820,1142894,79981,159041,30832,74804
면부,4650781,2420392,2230389,4394145,2237761,2156384,256636,182631,74005,2068878,2008345,4237,56296,2105345,1539804,427449,36565,69672,31855,103889
동부,42065303,20870464,21194839,40834701,20240556,20594145,1230602,629908,600694,17335523,16896701,9798,429024,14427931,1778105,10091508,405060,2002074,151184,822210
서울특별시,9586195,4647733,4938462,9219741,4474343,4745398,366454,173390,193064,4126524,3982290,2264,141970,3015371,307075,1772670,110562,796066,28998,248125
종로구,151291,73062,78229,139718,67919,71799,11573,5143,6430,68069,63414,115,4540,46859,12259,15688,5460,12540,912,5663
중구,128744,62147,66597,117252,56725,60527,11492,5422,6070,59817,55093,96,4628,42234,5967,26102,1944,7352,869,5695
용산구,225882,109162,116720,208602,99866,108736,17280,9296,7984,101431,95714,89,5628,74542,14064,37676,3969,18124,709,6611
성동구,291918,142128,149790,281266,137301,143965,10652,4827,5825,126658,122186,69,4403,91329,10525,67584,1990,10158,1072,6092
광진구,353967,169925,184042,333985,161130,172855,19982,8795,11187,160944,152090,78,8776,89832,15332,32135,4054,36858,1453,8065
동대문구,351057,171484,179573,331833,163507,168326,19224,7977,11247,158899,150373,131,8395,103520,17120,65033,3274,16511,1582,11084
중랑구,385663,189537,196126,378258,186593,191665,7405,2944,4461,167617,164832,49,2736,112364,18560,55499,4466,32303,1536,4471
성북구,438833,209682,229151,425295,204207,221088,13538,5475,8063,184871,179660,192,5019,138621,22520,79206,6262,29213,1420,3730
강북구,299535,144779,154756,294351,142837,151514,5184,1942,3242,131884,129805,72,2007,97452,17557,34733,4789,39331,1042,2539
도봉구,315979,153080,162899,312852,151906,160946,3127,1174,1953,128378,127362,49,967,107156,8634,65032,4144,28620,726,4127
노원구,511982,246317,265665,506237,243759,262478,5745,2558,3187,204210,202695,86,1429,189213,6619,163502,3448,14948,696,3261
은평구,463102,221828,241274,456902,219268,237634,6200,2560,3640,192581,190631,77,1873,150658,14937,59438,5830,69210,1243,9905
서대문구,317209,148696,168513,302902,143329,159573,14307,5367,8940,138528,133112,99,5317,101036,12600,54132,5461,27910,933,6083
마포구,365612,171161,194451,352890,165953,186937,12722,5208,7514,166007,160681,100,5226,122311,11618,70307,3142,35643,1601,15829
양천구,439068,214978,224090,433221,212412,220809,5847,2566,3281,168184,166044,44,2096,143769,7698,90788,4042,40382,859,6567
강서구,564854,271779,293075,555952,267919,288033,8902,3860,5042,247202,244097,74,3031,195383,10260,113767,4794,65426,1136,28136
구로구,435442,216855,218587,389832,192124,197708,45610,24731,20879,182636,164083,96,18457,133012,11474,83459,7388,29852,839,14324
금천구,249419,126490,122929,222303,112014,110289,27116,14476,12640,115254,103432,67,11755,68804,8807,31689,3914,23859,535,11441
영등포구,403619,200678,202941,356649,175746,180903,46970,24932,22038,178217,162391,121,15705,107366,14276,74957,1487,15474,1172,26005
동작구,392772,189611,203161,376840,182415,194425,15932,7196,8736,174572,167766,107,6699,115615,14522,61606,5289,33103,1095,3266
관악구,502641,250850,251791,478545,239878,238667,24096,10972,13124,259822,248959,178,10685,127568,21249,55417,6218,42770,1914,17696
서초구,401749,192081,209668,394326,188488,205838,7423,3593,3830,158582,156123,78,2381,133528,5481,94499,5356,26931,1261,8533
강남구,508135,243322,264813,498857,238710,260147,9278,4612,4666,212582,208833,87,3662,173745,6968,126023,5827,33190,1737,14630
송파구,643288,309802,333486,633026,305040,327986,10262,4762,5500,259785,255766,67,3952,211578,8072,127239,4900,69796,1571,16692
강동구,444434,218299,226135,437847,215297,222550,6587,3002,3585,179794,177148,43,2603,137876,9956,87159,3114,36562,1085,7680
부산광역시,3349016,1638751,1710265,3294102,1608877,1685225,54914,29874,25040,1420252,1405037,781,14434,1275859,196817,860042,31112,174214,13674,80046
읍부,141436,69853,71583,139179,68339,70840,2257,1514,743,55610,55070,40,500,53246,5454,42218,1353,3738,483,1977
면부,28029,13935,14094,27768,13786,13982,261,149,112,11579,11514,5,60,12295,2793,9038,137,146,181,289
동부,3179551,1554963,1624588,3127155,1526752,1600403,52396,28211,24185,1353063,1338453,736,13874,1210318,188570,808786,29622,170330,13010,77780
중구,41439,20420,21019,39225,19040,20185,2214,1380,834,21101,20508,23,570,17170,4407,5802,710,5461,790,2426
서구,105303,51131,54172,103032,49700,53332,2271,1431,840,47829,47261,48,520,41592,13931,18626,1307,7175,553,2692
동구,87246,42455,44791,84939,41381,43558,2307,1074,1233,40501,39776,29,696,33775,13576,13867,1076,4672,584,3262
영도구,113224,56614,56610,111058,55278,55780,2166,1336,830,51276,50842,44,390,46617,14162,26868,1181,3865,541,1347
부산진구,351403,168641,182762,348309,167457,180852,3094,1184,1910,158049,157105,74,870,141650,22197,95473,1660,20918,1402,13512
동래구,263345,127745,135600,262010,127292,134718,1335,453,882,106443,106013,39,391,94561,12002,65339,2711,13236,1273,5598
남구,269111,131685,137426,262316,128283,134033,6795,3402,3393,112568,110605,63,1900,108223,17308,64324,3132,22493,966,4251
북구,280177,138111,142066,277265,136847,140418,2912,1264,1648,113727,113121,39,567,106250,7225,86325,2323,9696,681,2263
해운대구,389535,187806,201729,384795,185549,199246,4740,2257,2483,160011,158613,47,1351,146373,12107,116573,2499,14290,904,14304
사하구,312057,155311,156746,306744,152098,154646,5313,3213,2100,129762,128354,67,1341,117701,17262,82041,5141,12210,1047,5570
금정구,237219,115300,121919,232543,113370,119173,4676,1930,2746,103542,101802,93,1647,86739,15909,48483,3085,17956,1306,4345
강서구,136734,72095,64639,130624,67026,63598,6110,5069,1041,52737,51376,45,1316,48150,8642,38108,290,682,428,3182
연제구,204947,98187,106760,203893,97813,106080,1054,374,680,86043,85699,36,308,75081,10339,51196,1504,11150,892,5435
수영구,171461,80701,90760,169791,79945,89846,1670,756,914,77302,76700,32,570,69748,9902,38453,2236,18399,758,5257
사상구,216350,108761,107589,210611,105673,104938,5739,3088,2651,92172,90678,57,1437,76688,9601,57308,767,8127,885,4336
기장군,169465,83788,85677,166947,82125,84822,2518,1663,855,67189,66584,45,560,65541,8247,51256,1490,3884,664,2266
대구광역시,2410700,1190271,1220429,2373302,1170625,1202677,37398,19646,17752,997416,985816,512,11088,809802,142457,595392,9093,52492,10368,22788
읍부,237111,120575,116536,230595,116681,113914,6516,3894,2622,91581,89718,53,1810,86924,8607,75198,579,1714,826,2153
면부,23902,12553,11349,22438,11436,11002,1464,1117,347,9997,9652,24,321,10671,4381,5710,86,336,158,586
동부,2149687,1057143,1092544,2120269,1042508,1077761,29418,14635,14783,895838,886446,435,8957,712207,129469,514484,8428,50442,9384,20049
중구,74278,35692,38586,73499,35341,38158,779,351,428,35114,34805,37,272,25584,6362,16880,356,1152,834,3350
동구,333294,163476,169818,331000,162756,168244,2294,720,1574,142473,141788,71,614,123199,22612,83630,2313,12960,1684,3814
서구,170437,84983,85454,167380,83390,83990,3057,1593,1464,75132,74097,45,990,51379,20821,17950,747,10768,1093,1162
남구,145588,69569,76019,143788,68869,74919,1800,700,1100,69654,69120,54,480,42607,19036,16495,552,5660,864,1122
북구,446466,222464,224002,440171,219461,220710,6295,3003,3292,181778,179584,69,2125,147686,19686,118066,1875,6233,1826,4079
수성구,412912,200040,212872,410742,199194,211548,2170,846,1324,160984,160239,38,707,136996,20359,107205,1274,7035,1123,2961
달서구,566712,280919,285793,553689,273497,280192,13023,7422,5601,230703,226813,121,3769,184756,20593,154258,1311,6634,1960,3561
달성군,261013,133128,127885,253033,128117,124916,7980,5011,2969,101578,99370,77,2131,97595,12988,80908,665,2050,984,2739
인천광역시,2945454,1477064,1468390,2846242,1422376,1423866,99212,54688,44524,1178564,1147200,762,30602,1032774,95700,661611,27704,238777,8982,91011
읍부,21601,10700,10901,21239,10524,10715,362,176,186,8871,8790,9,72,8913,3378,1155,843,3379,158,270
면부,63711,33489,30222,62618,32732,29886,1093,757,336,28141,27787,67,287,28702,23949,1831,778,1486,658,1434
동부,2860142,1432875,1427267,2762385,1379120,1383265,97757,53755,44002,1141552,1110623,686,30243,995159,68373,658625,26083,233912,8166,89307
중구,138586,71310,67276,133337,68621,64716,5249,2689,2560,61142,59494,56,1592,50974,8061,32631,1848,7749,685,7279
동구,61285,30795,30490,60090,30155,29935,1195,640,555,25606,25234,15,357,24518,6421,14429,356,3032,280,819
연수구,390260,194264,195996,371668,184541,187127,18592,9723,8869,147391,141117,65,6209,127407,3499,116186,919,6502,301,9356
남동구,528927,264341,264586,512093,253646,258447,16834,10695,6139,211978,207421,116,4441,187149,8091,128749,3155,45899,1255,17805
부평구,500812,247253,253559,478998,236449,242549,21814,10804,11010,201550,193963,107,7480,168544,10590,108034,4420,44166,1334,21060
계양구,292852,145258,147594,288215,143290,144925,4637,1968,2669,114972,113632,67,1273,107004,3628,68453,1815,32456,652,4531
서구,541534,275253,266281,524595,264212,260383,16939,11041,5898,205791,200854,109,4828,182797,8883,121370,9023,42531,990,11628
미추홀구,405886,204401,201485,393389,198206,195183,12497,6195,6302,173122,168908,151,4063,146766,19200,68773,4547,51577,2669,16829
강화군,66020,33116,32904,64866,32389,32477,1154,727,427,28145,27827,69,249,29323,21295,2344,1055,4030,599,1359
옹진군,19292,11073,8219,18991,10867,8124,301,206,95,8867,8750,7,110,8292,6032,642,566,835,217,345
광주광역시,1477573,734140,743433,1447000,717832,729168,30573,16308,14265,608316,599217,395,8704,538275,81315,432295,9972,8863,5830,15016
동구,106005,52810,53195,103761,51647,52114,2244,1163,1081,48193,47388,55,750,40108,10867,25080,921,2353,887,1540
서구,294854,145078,149776,292538,144078,148460,2316,1000,1316,124973,124204,52,717,106173,13935,88118,1489,1583,1048,4833
남구,214860,103479,111381,212832,102693,110139,2028,786,1242,87579,87098,55,426,80737,15551,61467,1555,1287,877,1447
북구,439352,218672,220680,433239,215775,217464,6113,2897,3216,183018,181167,103,1748,162768,22958,132331,2615,2775,2089,3275
광산구,422502,214101,208401,404630,203639,200991,17872,10462,7410,164553,159360,130,5063,148489,18004,125299,3392,865,929,3921
대전광역시,1488435,744349,744086,1465507,733852,731655,22928,10497,12431,639020,631208,460,7352,496875,79189,367235,10473,34684,5294,13153
동구,232559,117184,115375,227028,114602,112426,5531,2582,2949,104650,102668,107,1875,79262,18943,49761,2306,7082,1170,1120
중구,231959,113814,118145,229936,113104,116832,2023,710,1313,98346,97687,81,578,82051,17988,51780,2471,8355,1457,1330
서구,478629,235043,243586,474200,233293,240907,4429,1750,2679,204879,203296,102,1481,153397,20196,122782,2488,6938,993,4186
유성구,368895,188856,180039,360991,184871,176120,7904,3985,3919,156839,154100,121,2618,119063,11309,101693,1606,3580,875,5415
대덕구,176393,89452,86941,173352,87982,85370,3041,1470,1571,74306,73457,49,800,63102,10753,41219,1602,8729,799,1102
울산광역시,1135423,585978,549445,1108528,570131,538397,26895,15847,11048,452995,444087,235,8673,394634,65747,289432,7996,24781,6678,12763
읍부,190747,99367,91380,183302,94780,88522,7445,4587,2858,75217,72478,40,2699,68156,11632,50651,1207,3590,1076,1763
면부,34303,18372,15931,32152,16519,15633,2151,1853,298,14796,14358,46,392,15024,10169,3272,731,459,393,1068
동부,910373,468239,442134,893074,458832,434242,17299,9407,7892,362982,357251,149,5582,311454,43946,235509,6058,20732,5209,9932
중구,214147,108242,105905,211294,107065,104229,2853,1177,1676,87519,86488,29,1002,70794,14841,45763,1892,6934,1364,2325
남구,320175,163148,157027,313527,159693,153834,6648,3455,3193,132915,130469,70,2376,110405,13856,83718,2288,8205,2338,5695
동구,159000,84211,74789,154482,81326,73156,4518,2885,1633,62485,61081,23,1381,53662,7866,39779,1391,3782,844,1011
북구,217051,112638,104413,213771,110748,103023,3280,1890,1390,80063,79213,27,823,76593,7383,66249,487,1811,663,901
울주군,225050,117739,107311,215454,111299,104155,9596,6440,3156,90013,86836,86,3091,83180,21801,53923,1938,4049,1469,2831
세종특별자치시,353933,177939,175994,346689,173541,173148,7244,4398,2846,141133,139106,120,1907,136887,16178,117312,1142,1547,708,3376
읍부,48736,25411,23325,46737,24367,22370,1999,1044,955,22514,21684,31,799,16670,2914,11760,739,890,367,368
면부,52383,29029,23354,48927,26496,22431,3456,2533,923,25331,24472,81,778,18708,12749,4751,216,651,341,1199
동부,252814,123499,129315,251025,122678,128347,1789,821,968,93288,92950,8,330,101509,515,100801,187,6,X,1809
세종시,353933,177939,175994,346689,173541,173148,7244,4398,2846,141133,139106,120,1907,136887,16178,117312,1142,1547,708,3376
경기도,13511676,6828367,6683309,12928214,6489718,6438496,583462,338649,244813,5294836,5098431,4080,192325,4495115,505382,3146667,130354,677652,35060,298634
읍부,1488992,774958,714034,1405270,720626,684644,83722,54332,29390,580183,556629,632,22922,538176,83897,332697,24238,91815,5529,24359
면부,810588,447488,363100,721331,379102,342229,89257,68386,20871,327534,306135,1107,20292,279513,164344,62468,9199,36898,6604,30036
동부,11212096,5605921,5606175,10801613,5389990,5411623,410483,215931,194552,4387119,4235667,2341,149111,3677426,257141,2751502,96917,548939,22927,244239
수원시,1210150,609616,600534,1154820,581043,573777,55330,28573,26757,488201,466089,258,21854,372228,31396,272352,8721,57249,2510,23335
장안구,278507,140771,137736,268549,135646,132903,9958,5125,4833,108181,104418,82,3681,85399,8538,55266,1738,19134,723,1292
권선구,373381,188046,185335,358009,180309,177700,15372,7737,7635,149210,143231,50,5929,118970,9820,84884,2353,21070,843,3997
팔달구,187922,95112,92810,167566,84182,83384,20356,10930,9426,84883,76086,70,8727,58005,8918,31810,1999,14573,705,6144
영통구,370340,185687,184653,360696,180906,179790,9644,4781,4863,145927,142354,56,3517,109854,4120,100392,2631,2472,239,11902
성남시,922025,455702,466323,896611,443432,453179,25414,12270,13144,379640,369585,126,9929,262573,33228,183364,10835,33550,1596,32696
수정구,249044,125587,123457,233811,117966,115845,15233,7621,7612,111225,104775,37,6413,64003,17980,32932,1006,11490,595,4039
중원구,211880,106618,105262,207373,104603,102770,4507,2015,2492,91539,89721,50,1768,59742,9938,27933,967,20145,759,5789
분당구,461101,223497,237604,455427,220863,234564,5674,2634,3040,176876,175089,39,1748,138828,5310,122499,8862,1915,242,22868
의정부시,449572,221225,228347,442884,218202,224682,6688,3023,3665,180351,178067,100,2184,157778,12544,119925,2890,21329,1090,6410
안양시,542336,267405,274931,531584,262254,269330,10752,5151,5601,207634,203441,84,4109,178613,9400,131020,3470,33494,1229,11060
만안구,240986,119998,120988,232745,115942,116803,8241,4056,4185,95798,92486,62,3250,77113,6568,46176,2194,21425,750,4139
동안구,301350,147407,153943,298839,146312,152527,2511,1095,1416,111836,110955,22,859,101500,2832,84844,1276,12069,479,6921
부천시,833148,412302,420846,794155,392770,401385,38993,19532,19461,329594,315696,205,13693,271570,17057,155701,7329,88823,2660,22470
광명시,298116,146922,151194,290414,143230,147184,7702,3692,4010,114422,111383,33,3006,103493,5515,73897,1534,21971,576,5365
평택시,542522,282271,260251,509745,263790,245955,32777,18481,14296,224080,213185,176,10719,219871,33328,147307,7714,29451,2071,6957
동두천시,95239,47654,47585,90846,45254,45592,4393,2400,1993,39055,37936,55,1064,37755,6543,21657,2550,6618,387,1082
안산시,717345,370722,346623,637847,325938,311909,79498,44784,34714,291294,260598,284,30412,220241,15588,116400,8888,77977,1388,12995
상록구,359979,183258,176721,340176,173135,167041,19803,10123,9680,146619,139191,105,7323,114069,7858,49248,1233,54991,739,2592
단원구,357366,187464,169902,297671,152803,144868,59695,34661,25034,144675,121407,179,23089,106172,7730,67152,7655,22986,649,10403
고양시,1045497,510418,535079,1027272,501380,525892,18225,9038,9187,404705,398864,228,5613,334425,21021,264031,11272,36461,1640,37383
덕양구,460881,227271,233610,453888,224025,229863,6993,3246,3747,183099,180981,93,2025,158223,9710,119308,4977,23350,878,10470
일산동구,292616,141805,150811,286357,138381,147976,6259,3424,2835,114417,112376,105,1936,82011,7643,61373,4126,8427,442,20196
일산서구,292000,141342,150658,287027,138974,148053,4973,2368,2605,107189,105507,30,1652,94191,3668,83350,2169,4684,320,6717
과천시,58018,28614,29404,57625,28421,29204,393,193,200,20629,20504,10,115,14819,1699,10726,277,2015,102,504
구리시,192051,95061,96990,190008,94119,95889,2043,942,1101,73909,73253,26,630,60554,5107,46883,2368,5721,475,2486
남양주시,696033,346351,349682,685586,340312,345274,10447,6039,4408,255575,252977,173,2425,240547,17102,184085,11516,26250,1594,8358
오산시,240645,124161,116484,224597,115891,108706,16048,8270,7778,98336,91909,66,6361,82323,5246,66629,1591,8283,574,3115
시흥시,535147,281928,253219,482850,251587,231263,52297,30341,21956,213850,192833,142,20875,179205,7388,143158,1622,25709,1328,13220
군포시,275571,136710,138861,265119,131464,133655,10452,5246,5206,107215,103186,60,3969,91152,3599,73857,1229,12000,467,4522
의왕시,160230,79633,80597,158592,78847,79745,1638,786,852,59922,59444,34,444,57799,2710,45347,710,8774,258,1616
하남시,279795,140355,139440,276344,138487,137857,3451,1868,1583,113584,112462,28,1094,84875,6036,75066,1203,1934,636,16825
용인시,1066975,530711,536264,1040934,516055,524879,26041,14656,11385,394636,386929,318,7389,349222,30255,272504,11109,33536,1818,15082
처인구,268242,139004,129238,254241,130102,124139,14001,8902,5099,104370,100342,194,3834,91311,19214,41241,5900,23652,1304,4755
기흥구,434871,214600,220271,427601,211007,216594,7270,3593,3677,159718,157399,77,2242,139863,7349,121499,3354,7325,336,5140
수지구,363862,177107,186755,359092,174946,184146,4770,2161,2609,130548,129188,47,1313,118048,3692,109764,1855,2559,178,5187
파주시,460541,235488,225053,445151,224906,220245,15390,10582,4808,174764,170924,184,3656,160504,26643,112746,3861,15925,1329,7850
이천시,226212,117642,108570,215871,111560,104311,10341,6082,4259,86215,83415,151,2649,78117,22348,40054,3387,11103,1225,4239
안성시,203030,106461,96569,185454,95420,90034,17576,11041,6535,82928,77368,171,5389,76636,21620,46787,2702,4614,913,3522
김포시,474546,243883,230663,447267,223513,223754,27279,20370,6909,179106,171854,111,7141,159766,13361,131927,4809,8732,937,13078
화성시,880859,464634,416225,825922,426695,399227,54937,37939,16998,336715,321871,396,14448,300372,32576,243732,4614,17507,1943,24721
광주시,385141,198755,186386,367268,187035,180233,17873,11720,6153,147712,143039,102,4571,128175,16239,49408,4029,57404,1095,4514
양주시,233286,119562,113724,223364,112478,110886,9922,7084,2838,88985,86650,148,2187,85563,10882,64932,1413,7359,977,3481
포천시,157939,86546,71393,140482,73502,66980,17457,13044,4413,63701,59525,145,4031,55033,21047,20285,2633,9927,1141,5651
여주시,113352,57759,55593,108225,54683,53542,5127,3076,2051,45457,44234,107,1116,41610,20624,14208,1457,4380,941,2120
연천군,42278,22325,19953,41000,21438,19562,1278,887,391,18368,18014,35,319,17241,8915,5469,1198,1252,407,875
가평군,60233,30708,29525,58803,30120,28683,1430,588,842,26056,25652,47,357,26538,14933,5262,1971,3521,851,1208
양평군,113844,56843,57001,111574,55892,55682,2270,951,1319,48197,47544,77,576,46517,31432,7948,1452,4783,902,1894
강원도,1521763,767674,754089,1497109,754831,742278,24654,12843,11811,668479,661039,595,6845,644023,237573,360950,21471,12539,11490,16804
